User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1002903,Kiran Ashraf,P00125942,F,26-35,28,0,Quetta,Western,Healthcare,Auto,1,23952.0,,
1000732,Zoya Nasir,P00110942,F,26-35,35,1,Hyderabad,Southern,Govt,Auto,3,23934.0,,
1001990,Osheen Malik,P00118542,F,26-35,35,1,Faisalabad,Central,Automobile,Auto,3,23924.0,,
1001425,Shahid Afridi,P00237842,M,0-17,16,0,Karachi,Southern,Construction,Auto,2,23912.0,,
1000588,Zohaib Hassan,P00057942,M,26-35,28,1,Gwadar,Western,Food Processing,Auto,2,23877.0,,
1000588,Zohaib Hassan,P00057942,M,26-35,28,1,Islamabad,Northern,Food Processing,Auto,1,23877.0,,
1001132,Fabiha Sherazi,P00018042,F,18-25,25,1,Faisalabad,Central,Lawyer,Auto,4,23841.0,,
1002092,Iman Ali,P00273442,F,55+,61,0,Quetta,Western,IT Sector,Auto,1,,,
1003224,Parvez Musharraf,P00205642,M,26-35,35,0,Faisalabad,Central,Govt,Auto,2,23809.0,,
1003650,Ozma Farooq,P00031142,F,26-35,26,1,Hyderabad,Southern,Media,Auto,4,23799.99,,
1003829,Shafqat Mahmood,P00200842,M,26-35,34,0,Multan,Central,Banking,Auto,1,23770.0,,
1000214,Yumna Khan,P00119142,F,18-25,20,0,Hyderabad,Southern,Retail,Auto,2,23752.0,,
1004035,Rida Isfahani,P00080342,F,18-25,20,1,Hyderabad,Southern,IT Sector,Auto,2,23730.0,,
1001680,Shoaib Malik,P00324942,M,26-35,26,1,Hyderabad,Southern,Automobile,Auto,4,23718.0,,
1003858,Naveed Akhtar,P00293742,M,46-50,46,1,Bahawalpur,Central,Hospitality,Auto,3,,,
1000813,Owais Fatima,P00289942,F,18-25,24,0,Hyderabad,Southern,Govt,Auto,2,23664.0,,
1005447,Sanam Baloch,P00275642,F,46-50,48,1,Hyderabad,Southern,IT Sector,Auto,3,,,
1001193,Wafa Rasheed,P00004842,F,26-35,29,0,Hyderabad,Southern,Aviation,Auto,1,23619.0,,
1001883,Ammar Yasin,P00029842,M,51-55,54,1,Faisalabad,Central,Hospitality,Auto,1,23568.0,,
1001883,Ammar Yasin,P00029842,M,51-55,54,1,Faisalabad,Central,Hospitality,Auto,1,23568.0,,
1000113,Wafa Rasheed,P00180642,F,18-25,19,1,Hyderabad,Southern,Govt,Auto,4,23546.0,,
1000416,Quratulain Fatima,P00181842,F,46-50,46,1,Faisalabad,Central,Banking,Auto,2,23525.0,,
1005256,Laiba Malik,P00101742,F,26-35,30,0,Hyderabad,Southern,IT Sector,Auto,1,23518.0,,
1001505,Shaista Lodhi,P00271842,F,51-55,53,0,Faisalabad,Central,Automobile,Auto,2,23515.0,,
1000900,Fawad Alam,P00317842,M,55+,83,0,Karachi,Southern,Automobile,Auto,3,23513.0,,
1005908,Tuba Anwar,P00282642,F,26-35,33,0,Hyderabad,Southern,IT Sector,Auto,3,23462.0,,
1001101,Nazia Hassan,P00234742,F,36-45,40,0,Faisalabad,Central,Banking,Auto,3,23456.0,,
1004736,Ushna Shah,P00058042,F,18-25,25,1,Hyderabad,Southern,Banking,Auto,4,23451.0,,
1004037,Junaid Baig,P00190542,M,51-55,54,1,Hyderabad,Southern,Govt,Hand & Power Tools,2,23434.0,,
1002340,Raabia Yousaf,P00119642,F,36-45,39,1,Hyderabad,Southern,Aviation,Auto,3,23389.0,,
1005664,Ghazala Javed,P00111642,F,18-25,20,0,Hyderabad,Southern,Aviation,Auto,2,23365.0,,
1002523,Bushra Ansari,P00293342,F,26-35,32,1,Hyderabad,Southern,Food Processing,Auto,3,23326.0,,
1002503,Dur-e-Shahwar,P00220042,F,36-45,36,0,Hyderabad,Southern,Automobile,Auto,2,23314.0,,
1002638,Qurat Rasheed,P00346242,F,26-35,35,1,Quetta,Western,Media,Auto,2,23306.0,,
1004505,Anmol Baloch,P00080042,F,51-55,55,1,Hyderabad,Southern,Healthcare,Auto,4,23302.0,,
1004957,Kabir Khan,P00111842,M,26-35,27,1,Gujranwala,Eastern,Govt,Auto,1,23285.0,,
1005649,Arslan Javed,P00238542,M,18-25,20,1,Multan,Central,Media,Auto,1,23281.0,,
1004508,Erum Suria,P00048742,F,26-35,32,0,Hyderabad,Southern,Aviation,Auto,1,23270.0,,
1002520,Fahad Hussain,P00310342,M,55+,72,1,Islamabad,Northern,Media,Auto,4,23267.0,,
1003111,Ghazala Javed,P00249542,F,18-25,25,1,Hyderabad,Southern,Banking,Auto,4,23252.0,,
1000687,Junaid Baig,P00156442,M,26-35,35,0,Sukkur,Southern,Aviation,Auto,1,23247.0,,
1003267,Riaz Hussain,P00144242,M,26-35,30,1,Faisalabad,Central,Banking,Hand & Power Tools,2,23246.0,,
1001182,Shoaib Malik,P00122442,M,0-17,16,0,Hyderabad,Southern,Food Processing,Auto,4,23239.0,,
1005383,Hina Bayat,P0096942,F,36-45,40,0,Hyderabad,Southern,Aviation,Auto,2,23201.0,,
1004303,Mariam Iqbal,P00201442,F,26-35,35,1,Hyderabad,Southern,Aviation,Auto,2,23185.0,,
1005493,Arif Habib,P00036242,M,36-45,45,1,Hyderabad,Southern,Agriculture,Hand & Power Tools,3,23160.0,,
1000728,Uzma Tariq,P00113942,F,26-35,28,0,Hyderabad,Southern,Banking,Auto,1,23154.0,,
1002966,Naeem Akhtar,P00121642,M,26-35,32,1,Multan,Central,Construction,Auto,3,23103.0,,
1001726,Tania Sherafgan,P00105042,F,26-35,32,0,Hyderabad,Southern,Retail,Auto,4,23066.0,,
1001404,Anmol Baloch,P00141842,F,51-55,53,0,Hyderabad,Southern,IT Sector,Auto,2,23053.0,,
1005267,Mehwish Hayat,P00115342,F,36-45,43,1,Hyderabad,Southern,IT Sector,Auto,3,23047.0,,
1003745,Zafar Iqbal,P00220042,M,26-35,29,0,Rawalpindi,Northern,IT Sector,Stationery,2,21563.0,,
1001884,Nazia Hassan,P00339042,F,46-50,47,0,Multan,Central,Textile,Stationery,1,21547.0,,
1001804,Hina Akhtar,P00000642,F,26-35,35,0,Multan,Central,Lawyer,Stationery,1,21533.0,,
1005359,Gulnaz Bano,P00302742,F,18-25,22,1,Multan,Central,Media,Stationery,1,21503.0,,
1000151,Salman Yousaf,P00150342,M,26-35,34,1,Karachi,Southern,IT Sector,Stationery,2,21495.0,,
1001389,Alishba Rashid,P00261542,F,26-35,33,1,Multan,Central,Agriculture,Stationery,3,21463.0,,
1002665,Hira Farooq,P00261842,F,36-45,36,0,Multan,Central,IT Sector,Stationery,4,21427.0,,
